"course","url","team",
"Ιστορία Φυσικής Αγωγής & Αθλητισμού","http://www.phed.auth.gr/etefaa/course/view.php?id=3",1,
"Εισαγωγή στην επιστήμη της Φυσικής Αγωγής και του Αθλητισμού","http://www.phed.auth.gr/etefaa/course/view.php?id=2",1,
"Περιγραφική Ανατομική του Ανθρώπου","http://www.phed.auth.gr/etefaa/course/view.php?id=4",1,
"Ξένη Γλώσσα (Αγγλική) I","http://www.phed.auth.gr/etefaa/course/view.php?id=20",1,
"Φυσιολογία","http://www.phed.auth.gr/etefaa/course/view.php?id=19",1,
"Κοινωνιολογία της Φυσικής Αγωγής και του Αθλητισμού","http://www.phed.auth.gr/etefaa/course/view.php?id=18",1,
"Ξένη Γλώσσα (Αγγλική) ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=17",1,
"Βιοκινητική","http://www.phed.auth.gr/etefaa/course/view.php?id=16",1,
"Εργοφυσιολογία","http://www.phed.auth.gr/etefaa/course/view.php?id=15",1,
"Υγιεινή και Διατροφή Αθλουμένων","http://www.phed.auth.gr/etefaa/course/view.php?id=14",1,
"Φιλοσοφία Φυσικής Αγωγής & Αθλητισμού - Ολυμπιακή Παιδεία","http://www.phed.auth.gr/etefaa/course/view.php?id=13",1,
"Αθλητική Ψυχολογία","http://www.phed.auth.gr/etefaa/course/view.php?id=12",1,
"Παιδαγωγική της Φυσικής Αγωγής και του Αθλητισμού","http://www.phed.auth.gr/etefaa/course/view.php?id=11",1,
"Οργάνωση και Διοίκηση του Αθλητισμού","http://www.phed.auth.gr/etefaa/course/view.php?id=10",1,
"Αθλητιατρική","http://www.phed.auth.gr/etefaa/course/view.php?id=9",1,
"Προπονητική παιδικής & εφηβικής ηλικίας (ΔΜ)","http://www.phed.auth.gr/etefaa/course/view.php?id=8",1,
"Ειδική αγωγή","http://www.phed.auth.gr/etefaa/course/view.php?id=7",1,
"Κινητική Συμπεριφορά","http://www.phed.auth.gr/etefaa/course/view.php?id=6",1,
"Γενική Προπονητική","http://www.phed.auth.gr/etefaa/course/view.php?id=5",1,
"Διδακτική των Ελληνικών Παραδοσιακών Χορών Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=155",2,
"Διδακτική της Ενόργανης Γυμναστικής Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=146",2,
"Διδακτική της Ενόργανης Γυμναστικής ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=29",2,
"Διδακτική της Καλαθοσφαίρισης Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=147",2,
"Διδακτική της Καλαθοσφαίρισης ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=25",2,
"Διδακτική της Κολύμβησης Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=148",2,
"Διδακτική της Κολύμβησης ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=24",2,
"Διδακτική της Παιδαγωγικής Γυμναστικής Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=149",2,
"Διδακτική της Παιδαγωγικής Γυμναστικής ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=33",2,
"Διδακτική της Πετοσφαίρισης I","http://www.phed.auth.gr/etefaa/course/view.php?id=150",2,
"Διδακτική της Πετοσφαίρισης ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=27",2,
"Διδακτική της Ρυθμικής Γυμναστικής Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=151",2,
"Διδακτική της Ρυθμικής Γυμναστικής ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=28",2,
"Διδακτική της ΦΑ στη Β/θμια Εκπαίδευση","http://www.phed.auth.gr/etefaa/course/view.php?id=23",2,
"Διδακτική της ΦΑ στην Α/θμια Εκπαίδευση","http://www.phed.auth.gr/etefaa/course/view.php?id=152",2,
"Διδακτική της Χειροσφαίρισης Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=153",2,
"Διδακτική της Χειροσφαίρισης ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=30",2,
"Διδακτική του Κλασικού Αθλητισμού Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=142",2,
"Διδακτική του Κλασικού Αθλητισμού ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=34",2,
"Διδακτική του Ποδοσφαίρου Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=154",2,
"Διδακτική του Ποδοσφαίρου ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=31",2,
"Διδακτική των Ελληνικών Παραδοσιακών Χορών ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=32",2,
"Φυσικοθεραπεία Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=22",2,
"Φυσικοθεραπεία ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=21",2,
"Αθλητικές Κακώσεις","http://www.phed.auth.gr/etefaa/course/view.php?id=49",3,
"Αθλητική Καρδιολογία","http://www.phed.auth.gr/etefaa/course/view.php?id=48",3,
"Αξιολόγηση της Δύναμης & Νευρομυϊκός Έλεγχος","http://www.phed.auth.gr/etefaa/course/view.php?id=47",3,
"Βιοχημεία της Άσκησης","http://www.phed.auth.gr/etefaa/course/view.php?id=46",3,
"Ειδικά Θέματα Γυναικείου Αθλητισμού (ΔΜ)","http://www.phed.auth.gr/etefaa/course/view.php?id=45",3,
"Ειδικά Θέματα Ολυμπιακών Αγώνων","http://www.phed.auth.gr/etefaa/course/view.php?id=35",3,
"Εργομετρία","http://www.phed.auth.gr/etefaa/course/view.php?id=44",3,
"Εργονομία","http://www.phed.auth.gr/etefaa/course/view.php?id=43",3,
"Εφαρμοσμένη Αθλητιατρική","http://www.phed.auth.gr/etefaa/course/view.php?id=42",3,
"Κοινωνική Αθλητική Ψυχολογία","http://www.phed.auth.gr/etefaa/course/view.php?id=41",3,
"Λειτουργική Ανατομική","http://www.phed.auth.gr/etefaa/course/view.php?id=39",3,
"Μέθοδοι Έρευνας και Στατιστική","http://www.phed.auth.gr/etefaa/course/view.php?id=176",3,
"Νέες Τεχνολογίες στον Αθλητισμό","http://www.phed.auth.gr/etefaa/course/view.php?id=40",3,
"Προσαρμοσμένη Φυσική Δραστηριότητα","http://www.phed.auth.gr/etefaa/course/view.php?id=38",3,
"Πρώτες Βοήθειες - Παθολογία Αθλουμένων","http://www.phed.auth.gr/etefaa/course/view.php?id=37",3,
"Απόδοση σε Διαφορετικές Περιβαλλοντικές Συνθήκες","http://www.phed.auth.gr/etefaa/course/view.php?id=58","4A",
"Βιοκινητική Αξιολόγηση της Αθλητικής Απόδοσης","http://www.phed.auth.gr/etefaa/course/view.php?id=57","4A",
"Βιοχημική Αξιολόγηση της Αθλητικής Απόδοσης","http://www.phed.auth.gr/etefaa/course/view.php?id=56","4A",
"Έλεγχος Κινητικών Δεξιοτήτων","http://www.phed.auth.gr/etefaa/course/view.php?id=156","4A",
"Εργοφυσιολογική Αξιολόγηση της Αθλητικής Απόδοσης","http://www.phed.auth.gr/etefaa/course/view.php?id=55","4A",
"Ετήσιος Σχεδιασμός Αθλητικής Προπόνησης","http://www.phed.auth.gr/etefaa/course/view.php?id=157","4A",
"Μάθηση και Ανάπτυξη Κινητικών Δεξιοτήτων","http://www.phed.auth.gr/etefaa/course/view.php?id=54","4A",
"Όρια Αθλητικής Απόδοσης (ΔΜ)","http://www.phed.auth.gr/etefaa/course/view.php?id=53","4A",
"Προπονητική Ομαδικών Αθλημάτων","http://www.phed.auth.gr/etefaa/course/view.php?id=51","4A",
"Ψυχολογική Προετοιμασία Αθλητών","http://www.phed.auth.gr/etefaa/course/view.php?id=50","4A",
"Αθλητισμός Αναψυχής","http://www.phed.auth.gr/etefaa/course/view.php?id=64","4B",
"Άσκηση Ατόμων με Χρόνιες Παθήσεις","http://www.phed.auth.gr/etefaa/course/view.php?id=63","4B",
"Άσκηση και Αισθητηριακές Διαταραχές","http://www.phed.auth.gr/etefaa/course/view.php?id=158","4B",
"Ειδικά Θέματα Τρίτης Ηλικίας (ΔΜ)","http://www.phed.auth.gr/etefaa/course/view.php?id=62","4B",
"Ειδική Φυσική Αγωγή και Ορθοσωμική Γυμναστική","http://www.phed.auth.gr/etefaa/course/view.php?id=159","4B",
"Κοινωνιολογία της Αναψυχής","http://www.phed.auth.gr/etefaa/course/view.php?id=161","4B",
"Λαογραφία - πολιτισμός","http://www.phed.auth.gr/etefaa/course/view.php?id=162","4B",
"Μουσική - Ρυθμολογία","http://www.phed.auth.gr/etefaa/course/view.php?id=163","4B",
"Παραολυμπιακά Αθλήματα","http://www.phed.auth.gr/etefaa/course/view.php?id=60","4B",
"Σχεδιασμός και Ανάπτυξη Οργανωμένων Προγραμμάτων Αθλητισμού Αναψυχής","http://www.phed.auth.gr/etefaa/course/view.php?id=61","4B",
"Ψυχοκινητική Αγωγή σε Άτομα με Αναπηρίες","http://www.phed.auth.gr/etefaa/course/view.php?id=59","4B",
"Αθλητική Αναψυχή σε Τουριστικά Κέντρα","http://www.phed.auth.gr/etefaa/course/view.php?id=75",5,
"Αρχές σχολικής υγιεινής","http://www.phed.auth.gr/etefaa/course/view.php?id=74",5,
"Διδακτική της Φυσικής Αγωγής στην προσχολική ηλικία","http://www.phed.auth.gr/etefaa/course/view.php?id=73",5,
"Δυναμική ευκαμψία σε αθλητές και απροπόνητους","http://www.phed.auth.gr/etefaa/course/view.php?id=71",5,
"Ειδικά θέματα εξελικτικής ψυχολογίας παιδιών και εφήβων","http://www.phed.auth.gr/etefaa/course/view.php?id=170",5,
"Ειδικά θέματα Ολυμπιακής - Οικολογικής Αγωγής","http://www.phed.auth.gr/etefaa/course/view.php?id=178",5,
"Επιχειρηματικότητα και Καινοτομία στον Αθλητικό Τομέα","http://www.phed.auth.gr/etefaa/course/view.php?id=164",5,
"Εργαστηριακή Βιοχημεία της Άσκησης","http://www.phed.auth.gr/etefaa/course/view.php?id=72",5,
"Εφαρμογές μοντέλων εκπαιδευτικής ψυχολογίας στη φυσική αγωγή","http://www.phed.auth.gr/etefaa/course/view.php?id=169",5,
"Θεραπευτικές Εφαρμογές της Άσκησης","http://www.phed.auth.gr/etefaa/course/view.php?id=70",5,
"Κολύμβηση & Σωματική υγεία","http://www.phed.auth.gr/etefaa/course/view.php?id=166",5,
"Κολύμβηση Ατόμων με Αναπηρίες","http://www.phed.auth.gr/etefaa/course/view.php?id=165",5,
"Μέτρηση και Αξιολόγηση Κινητικών Δεξιοτήτων","http://www.phed.auth.gr/etefaa/course/view.php?id=167",5,
"Μηχανική Ανάλυση της Κίνησης","http://www.phed.auth.gr/etefaa/course/view.php?id=69",5,
"Παχυσαρκία και Φυσική Δραστηριότητα","http://www.phed.auth.gr/etefaa/course/view.php?id=168",5,
"Προπονητική Αναπτυξιακών Ηλικιών στις Αθλοπαιδιές","http://www.phed.auth.gr/etefaa/course/view.php?id=68",5,
"Φύλο, άσκηση & αθλητισμός","http://www.phed.auth.gr/etefaa/course/view.php?id=66",5,
