"auth-id","title","rensponsible","day","time","classroom","place","team","teacher","url","semester","team-description"
"ΕΠ0145","Αθλητικές Κακώσεις","Παπαβασιλείου","Δευτέρα","18.30-20.00","ΤΑΞΥΠ 2","ΑΠΘ",3,,"http://www.phed.auth.gr/etefaa/course/view.php?id=49","autumn","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"098","Αθλητική Καρδιολογία","Δεληγιάννης","Τρίτη","12.30-14.00","Αίθουσα 1 ","Θέρμης",3,,"http://www.phed.auth.gr/etefaa/course/view.php?id=48","autumn","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"088","Αξιολόγηση Δύναμης & Νευρομυϊκός έλεγχος","Κοτζαμανίδης","Τετάρτη","18.30-20.00","ΤΑΞΥΠ2","ΑΠΘ",3,,"http://www.phed.auth.gr/etefaa/course/view.php?id=47","autumn","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"ΕΠ0122","Βιοχημεία της Άσκησης","Κουτλιάνος","Πέμπτη","15.00-16.30","Αίθουσα 1","Θέρμης",3,,"http://www.phed.auth.gr/etefaa/course/view.php?id=46","autumn","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"024","Ειδικά Θέματα Ολυμπιακών Αγώνων","Καϊμακάμης","Πέμπτη","15.00-16.30","Νησίδα","Θέρμης",3,,"http://www.phed.auth.gr/etefaa/course/view.php?id=35","autumn","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"ΕΠ0146","Εργομετρία","Μεταξάς","Δευτέρα","12.30-14.00","Αίθουσα 2","Θέρμης",3,,"http://www.phed.auth.gr/etefaa/course/view.php?id=44","autumn","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"038","Εφαρμοσμένη Αθλητιατρική","Κουϊδή","Τρίτη","12.30-14.00","Αίθουσα 2","Θέρμης",3,,"http://www.phed.auth.gr/etefaa/course/view.php?id=42","autumn","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"075","Κοινωνική Αθλητική Ψυχολογία","Δογάνης","Δευτέρα","16.45-18.15","ΤΑΞΥΠ 1","ΑΠΘ",3,,"http://www.phed.auth.gr/etefaa/course/view.php?id=41","autumn","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"ΕΠ0132","Λειτουργική Ανατομική","Κουτλιάνος","Δευτέρα","12.30-14.00","ΤΑΞΥΠ 1","ΑΠΘ",3,,"http://www.phed.auth.gr/etefaa/course/view.php?id=39","autumn","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"ΕΠ0159","Μέθοδοι Έρευνας και Στατιστική ","Μπαρκούκης","Τρίτη","18.30-20.00","ΤΑΞΥΠ 2","ΑΠΘ",3,,"http://www.phed.auth.gr/etefaa/course/view.php?id=176","autumn","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
