"id-winter","winter","id-spring","spring","auth-id","course","rensponsible","day","day_for_order","time_spring_16","time_winter_15","classroom","place","team","team_for_order","teacher","url","team-description"
"SW060005","winter",,,,"Διεθνείς Χοροί","Δούκα","e-τεφαα","6",,,,,"6","7","Δούκα","http://www.phed.auth.gr/etefaa/course/view.php?id=174","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
,,"SA060008","spring","07Α","Κρίκετ","Γιαννακός","e-τεφαα","6",,,,,"6","7",,"http://www.phed.auth.gr/etefaa/course/view.php?id=100","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060014","winter",,,,"Μοντέρνος Χορός","Δούκα","e-τεφαα","6",,,,,"6","7","Δούκα","http://www.phed.auth.gr/etefaa/course/view.php?id=91","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
,,"SA060010","spring","53","Ορειβασία","Θώμογλου","e-τεφαα","6",,,,,"6","7","Θώμογλου","http://www.phed.auth.gr/etefaa/course/view.php?id=95","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060017","winter","SA060011","spring","35","Πάλη","Κοτζαμανίδης","e-τεφαα","6",,,"Παν/κό Γυμν. ","ΑΠΘ","6","7","Πάχτας ","http://www.phed.auth.gr/etefaa/course/view.php?id=93","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
,,"SA060014","spring","82","Τοξοβολία","Στεφανίδης","e-τεφαα","6",,,,,"6","7","Πρώιος","http://www.phed.auth.gr/etefaa/course/view.php?id=84","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW060030","winter","SA060017","spring","06Α","Χορογραφία Επιδείξεων","Δούκα","e-τεφαα","6",,,,,"6","7","Δούκα","http://www.phed.auth.gr/etefaa/course/view.php?id=109","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"SW030001","winter","SA030001","spring","ΕΠ0145","Αθλητικές Κακώσεις","Παπαβασιλείου","Δευτέρα","1","18.30-20.00","18.30-20.00","ΤΑΞΥΠ 2","ΑΠΘ","3","3",,"http://www.phed.auth.gr/etefaa/course/view.php?id=49","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
"SW030006","winter","SA030006","spring","ΕΠ0146","Εργομετρία","Μεταξάς","Δευτέρα","1","12.30-14.00","12.30-14.00","Αίθουσα 2","Θέρμη","3","3",,"http://www.phed.auth.gr/etefaa/course/view.php?id=44","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
,,"SA030008","spring","75","Κοινωνική Αθλητική Ψυχολογία","Δογάνης","Δευτέρα","1","16.45-18.15",,"ΤΑΞΥΠ 1","ΑΠΘ","3","3",,"http://www.phed.auth.gr/etefaa/course/view.php?id=41","ομάδα 3 - Κοινά Μαθήματα Υποχρεωτικής Επιλογής"
