"exetastiki","year","day","date","fulldate","class","course","time","place"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","B1","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο "
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","B9","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο "
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","Β1","Οργάνωση & Διοίκηση του Αθλητισμού","18.00-19.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","Β2","Οργάνωση & Διοίκηση του Αθλητισμού","18.00-19.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","Β3","Οργάνωση & Διοίκηση του Αθλητισμού","18.00-19.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","Β4 ","Οργάνωση & Διοίκηση του Αθλητισμού","18.00-19.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","Β5","Οργάνωση & Διοίκηση του Αθλητισμού","19.00-20.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","Β6","Οργάνωση & Διοίκηση του Αθλητισμού","19.00-20.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","Β7","Οργάνωση & Διοίκηση του Αθλητισμού","19.00-20.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","Β8 ","Οργάνωση & Διοίκηση του Αθλητισμού","19.00-20.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","Β9","Οργάνωση & Διοίκηση του Αθλητισμού","20.00-21.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","Β10 ","Οργάνωση & Διοίκηση του Αθλητισμού","20.00-21.00 ","ΤΑΞΥΠ"
"Jan 2016","b","Τρίτη","26/1/2016","Τρίτη 26/1/2016","Β4","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη "
"Jan 2016","b","Τρίτη","26/1/2016","Τρίτη 26/1/2016","Β5","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο "
"Jan 2016","b","Τρίτη","26/1/2016","Τρίτη 26/1/2016","Β6","Ενόργανη Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο "
"Jan 2016","b","Τρίτη","26/1/2016","Τρίτη 26/1/2016","Β8","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο "
"Jan 2016","b","Τετάρτη","27/1/2016","Τετάρτη 27/1/2016","Β2","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο "
"Jan 2016","b","Τετάρτη","27/1/2016","Τετάρτη 27/1/2016","Β3","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο "
"Jan 2016","b","Τετάρτη","27/1/2016","Τετάρτη 27/1/2016","Β7","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη "
"Jan 2016","b","Τετάρτη","27/1/2016","Τετάρτη 27/1/2016","Β9","Ενόργανη Γυμναστική ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο "
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","Β1","Βιοκινητική","18.00-19.00 ","Αμφιθέατρο Ιατρικής "
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","Β2","Βιοκινητική","18.00-19.00 ","Αμφιθέατρο Ιατρικής "
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","Β3","Βιοκινητική","18.00-19.00 ","Αμφιθέατρο Ιατρικής "
