"exetastiki","year","fulldate","day","date","class","course","time","place","type"
"Jan 2016","c","Πέμπτη 21/1/2016","Πέμπτη","21/1/2016","Γ1","Διδακτική της Κολύμβησης Ι","14.00-15.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","c","Πέμπτη 21/1/2016","Πέμπτη","21/1/2016","Γ2","Διδακτική της Κολύμβησης Ι","14.00-15.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","c","Πέμπτη 21/1/2016","Πέμπτη","21/1/2016","Γ3","Διδακτική της Κολύμβησης Ι","14.00-15.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","c","Πέμπτη 21/1/2016","Πέμπτη","21/1/2016","Γ4","Διδακτική της Κολύμβησης Ι","14.00-15.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","c","Πέμπτη 21/1/2016","Πέμπτη","21/1/2016","Γ5","Διδακτική της Κολύμβησης Ι","15.00-16.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","c","Πέμπτη 21/1/2016","Πέμπτη","21/1/2016","Γ6","Διδακτική της Κολύμβησης Ι","15.00-16.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","c","Πέμπτη 21/1/2016","Πέμπτη","21/1/2016","Γ7","Διδακτική της Κολύμβησης Ι","15.00-16.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","c","Πέμπτη 21/1/2016","Πέμπτη","21/1/2016","Γ8","Διδακτική της Κολύμβησης Ι","15.00-16.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","c","Πέμπτη 21/1/2016","Πέμπτη","21/1/2016","Γ9 ","Διδακτική της Κολύμβησης Ι","16.00-17.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","c","Πέμπτη 21/1/2016","Πέμπτη","21/1/2016","Γ10","Διδακτική της Κολύμβησης Ι","16.00-17.00 ","ΤΑΞΥΠ","θεωρία"
