"exetastiki","year","fulldate","day","date","class","course","time","place","type"
"Jan 2016","a","Πέμπτη  21/1/2016 ","Πέμπτη","21/1/2016","Α1","Κλασικός Αθλητισμός Ι","9.00-10.00 ","Γήπεδο Θέρμης","πράξη"
"Jan 2016","a","Πέμπτη  21/1/2016 ","Πέμπτη","21/1/2016","Α2","Παιδαγωγική Γυμναστική Ι","9.00-10.00 ","Φωλέα Κλειώ","πράξη"
"Jan 2016","a","Πέμπτη  21/1/2016 ","Πέμπτη","21/1/2016","Α3","Παραδοσιακοί Χοροί Ι","9.00-10.00 ","Τένις","πράξη"
"Jan 2016","a","Τρίτη  26/1/2016 ","Τρίτη","26/1/2016","Α4","Κλασικός Αθλητισμός Ι","9.00-10.00 ","Γήπεδο Θέρμης","πράξη"
"Jan 2016","a","Τρίτη  26/1/2016 ","Τρίτη","26/1/2016","Α5","Παιδαγωγική Γυμναστική Ι","9.00-10.00 ","Φωλέα Κλειώ","πράξη"
"Jan 2016","a","Τρίτη  26/1/2016 ","Τρίτη","26/1/2016","Α6","Παραδοσιακοί Χοροί Ι","9.00-10.00 ","Τένις","πράξη"
"Jan 2016","a","Τετάρτη  27/1/2016 ","Τετάρτη","27/1/2016","Α7","Κλασικός Αθλητισμός Ι","9.00-10.00 ","Γήπεδο Θέρμης","πράξη"
"Jan 2016","a","Τετάρτη  27/1/2016 ","Τετάρτη","27/1/2016","Α8","Παιδαγωγική Γυμναστική Ι","9.00-10.00 ","Φωλέα Κλειώ","πράξη"
"Jan 2016","a","Τετάρτη  27/1/2016 ","Τετάρτη","27/1/2016","Α9","Παραδοσιακοί Χοροί Ι","9.00-10.00 ","Τένις","πράξη"
"Jan 2016","a","Παρασκευή  29/1/2016 ","Παρασκευή","29/1/2016","Α10","Κλασικός Αθλητισμός Ι","9.00-10.00 ","Γήπεδο Θέρμης","πράξη"
"Jan 2016","a","Παρασκευή  29/1/2016 ","Παρασκευή","29/1/2016","Α1","Παιδαγωγική Γυμναστική Ι","9.00-10.00 ","Φωλέα Κλειώ","πράξη"
"Jan 2016","a","Παρασκευή  29/1/2016 ","Παρασκευή","29/1/2016","Α2","Παραδοσιακοί Χοροί Ι","9.00-10.00 ","Τένις","πράξη"
"Jan 2016","a","Τρίτη  2/2/2016","Τρίτη","2/2/2016","Α3","Κλασικός Αθλητισμός Ι","9.00-10.00 ","Γήπεδο Θέρμης","πράξη"
"Jan 2016","a","Τρίτη  2/2/2016","Τρίτη","2/2/2016","Α4","Παιδαγωγική Γυμναστική Ι","9.00-10.00 ","Φωλέα Κλειώ","πράξη"
"Jan 2016","a","Τρίτη  2/2/2016","Τρίτη","2/2/2016","Α5","Παραδοσιακοί Χοροί Ι","9.00-10.00 ","Τένις","πράξη"
"Jan 2016","a","Τετάρτη 3/2/2016","Τετάρτη","3/2/2016","Α6","Κλασικός Αθλητισμός Ι","9.00-10.00 ","Γήπεδο Θέρμης","πράξη"
"Jan 2016","a","Τετάρτη 3/2/2016","Τετάρτη","3/2/2016","Α7","Παιδαγωγική Γυμναστική Ι","9.00-10.00 ","Φωλέα Κλειώ","πράξη"
"Jan 2016","a","Τετάρτη 3/2/2016","Τετάρτη","3/2/2016","Α8","Παραδοσιακοί Χοροί Ι","9.00-10.00 ","Τένις","πράξη"
"Jan 2016","a","Παρασκευή 5/2/2016","Παρασκευή","5/2/2016","Α9","Κλασικός Αθλητισμός Ι","9.00-10.00 ","Γήπεδο Θέρμης","πράξη"
"Jan 2016","a","Παρασκευή 5/2/2016","Παρασκευή","5/2/2016","Α10","Παιδαγωγική Γυμναστική Ι","9.00-10.00 ","Φωλέα Κλειώ","πράξη"
"Jan 2016","a","Παρασκευή 5/2/2016","Παρασκευή","5/2/2016","Α1","Παραδοσιακοί Χοροί Ι","9.00-10.00 ","Τένις","πράξη"
"Jan 2016","a","Δευτέρα 8/2/2016","Δευτέρα","8/2/2016","Α2","Κλασικός Αθλητισμός Ι","9.00-10.00 ","Γήπεδο Θέρμης","πράξη"
"Jan 2016","a","Δευτέρα 8/2/2016","Δευτέρα","8/2/2016","Α3","Παιδαγωγική Γυμναστική Ι","9.00-10.00 ","Φωλέα Κλειώ","πράξη"
"Jan 2016","a","Δευτέρα 8/2/2016","Δευτέρα","8/2/2016","Α4","Παραδοσιακοί Χοροί Ι","9.00-10.00 ","Τένις","πράξη"
"Jan 2016","a","Τετάρτη 10/2/2016","Τετάρτη","10/2/2016","Α5","Κλασικός Αθλητισμός Ι","9.00-10.00 ","Γήπεδο Θέρμης","πράξη"
"Jan 2016","a","Τετάρτη 10/2/2016","Τετάρτη","10/2/2016","Α6","Παιδαγωγική Γυμναστική Ι","9.00-10.00 ","Φωλέα Κλειώ","πράξη"
"Jan 2016","a","Τετάρτη 10/2/2016","Τετάρτη","10/2/2016","Α7","Παραδοσιακοί Χοροί Ι","9.00-10.00 ","Τένις","πράξη"
