"exetastiki","year","day","date","fulldate","class","course","time","place","type"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","B1","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο ","πράξη"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","B1","Οργάνωση & Διοίκηση του Αθλητισμού","18.00-19.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","B2","Οργάνωση & Διοίκηση του Αθλητισμού","18.00-19.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","B3","Οργάνωση & Διοίκηση του Αθλητισμού","18.00-19.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","B4","Οργάνωση & Διοίκηση του Αθλητισμού","18.00-19.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","B5","Οργάνωση & Διοίκηση του Αθλητισμού","19.00-20.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","B6","Οργάνωση & Διοίκηση του Αθλητισμού","19.00-20.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","B7","Οργάνωση & Διοίκηση του Αθλητισμού","19.00-20.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","B8","Οργάνωση & Διοίκηση του Αθλητισμού","19.00-20.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","B9","Οργάνωση & Διοίκηση του Αθλητισμού","20.00-21.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","B10","Οργάνωση & Διοίκηση του Αθλητισμού","20.00-21.00 ","ΤΑΞΥΠ","θεωρία"
"Jan 2016","b","Δευτέρα","25/1/2016","Δευτέρα 25/1/2016","B9","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο ","πράξη"
"Jan 2016","b","Τρίτη","26/1/2016","Τρίτη 26/1/2016","B4","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη ","πράξη"
"Jan 2016","b","Τρίτη","26/1/2016","Τρίτη 26/1/2016","B5","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο ","πράξη"
"Jan 2016","b","Τρίτη","26/1/2016","Τρίτη 26/1/2016","B6","Ενόργανη Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο ","πράξη"
"Jan 2016","b","Τρίτη","26/1/2016","Τρίτη 26/1/2016","B8","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο ","πράξη"
"Jan 2016","b","Τετάρτη","27/1/2016","Τετάρτη 27/1/2016","B2","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο ","πράξη"
"Jan 2016","b","Τετάρτη","27/1/2016","Τετάρτη 27/1/2016","B3","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο ","πράξη"
"Jan 2016","b","Τετάρτη","27/1/2016","Τετάρτη 27/1/2016","B7","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη ","πράξη"
"Jan 2016","b","Τετάρτη","27/1/2016","Τετάρτη 27/1/2016","B9","Ενόργανη Γυμναστική ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο ","πράξη"
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","B1","Βιοκινητική","18.00-19.00 ","Αμφιθέατρο Ιατρικής ","θεωρία"
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","B2","Βιοκινητική","18.00-19.00 ","Αμφιθέατρο Ιατρικής ","θεωρία"
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","B3","Βιοκινητική","18.00-19.00 ","Αμφιθέατρο Ιατρικής ","θεωρία"
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","B4","Βιοκινητική","18.00-19.00 ","Αμφιθέατρο Ιατρικής ","θεωρία"
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","B5","Βιοκινητική","18.00-19.00 ","Αμφιθέατρο Ιατρικής ","θεωρία"
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","B6","Βιοκινητική","19.00-20.00 ","Αμφιθέατρο Ιατρικής ","θεωρία"
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","B7","Βιοκινητική","19.00-20.00 ","Αμφιθέατρο Ιατρικής ","θεωρία"
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","B8","Βιοκινητική","19.00-20.00 ","Αμφιθέατρο Ιατρικής ","θεωρία"
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","B9","Βιοκινητική","19.00-20.00 ","Αμφιθέατρο Ιατρικής ","θεωρία"
"Jan 2016","b","Παρασκευή","29/1/2016","Παρασκευή 29/1/2016","B10","Βιοκινητική","19.00-20.00 ","Αμφιθέατρο Ιατρικής ","θεωρία"
