"auth-id","course","url","category","type","spring","winter","year-odigos2013","year-odigos2015","odigos13","odigos15"
,"Αγωγή σε άτομα με Αναπηρίες ",,"μαθήματα","θεωρητικά",,,,"Β",,"odigos2015"
,"Αθλητιατρική","http://www.phed.auth.gr/etefaa/course/view.php?id=9","μαθήματα","θεωρητικά",,,"Γ","Γ","odigos2013","odigos2015"
,"Αθλητική Ψυχολογία","http://www.phed.auth.gr/etefaa/course/view.php?id=12","μαθήματα","θεωρητικά",,,"Β","Α","odigos2013","odigos2015"
,"Βιοκινητική","http://www.phed.auth.gr/etefaa/course/view.php?id=16","μαθήματα","θεωρητικά",,,"Β","Β","odigos2013","odigos2015"
,"Βιοχημεία της Άσκησης και Διατροφή αθλουμένων ",,"μαθήματα","θεωρητικά",,,,"Β",,"odigos2015"
,"Γενική Προπονητική","http://www.phed.auth.gr/etefaa/course/view.php?id=5","μαθήματα","θεωρητικά",,,"Γ","Γ","odigos2013","odigos2015"
,"Διδακτική της Ενόργανης Γυμναστικής Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=146","μαθήματα","εφαρμογής",,"winter","Β","Β","odigos2013","odigos2015"
,"Διδακτική της Ενόργανης Γυμναστικής ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=29","μαθήματα","εφαρμογής","spring",,"Β","Β","odigos2013","odigos2015"
,"Διδακτική της Καλαθοσφαίρισης Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=147","μαθήματα","εφαρμογής",,"winter","Γ","Γ","odigos2013","odigos2015"
,"Διδακτική της Καλαθοσφαίρισης ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=25","μαθήματα","εφαρμογής","spring",,"Γ","Γ","odigos2013","odigos2015"
,"Διδακτική της Κολύμβησης Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=148","μαθήματα","εφαρμογής",,"winter","Γ","Γ","odigos2013","odigos2015"
,"Διδακτική της Κολύμβησης ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=24","μαθήματα","εφαρμογής","spring",,"Γ","Γ","odigos2013","odigos2015"
,"Διδακτική της Παιδαγωγικής Γυμναστικής Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=149","μαθήματα","εφαρμογής",,"winter","Α","Α","odigos2013","odigos2015"
,"Διδακτική της Παιδαγωγικής Γυμναστικής ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=33","μαθήματα","εφαρμογής","spring",,"Α","Α","odigos2013","odigos2015"
,"Διδακτική της Πετοσφαίρισης ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=27","μαθήματα","εφαρμογής","spring",,"Γ","Γ","odigos2013","odigos2015"
,"Διδακτική της Πετοσφαίρισης I","http://www.phed.auth.gr/etefaa/course/view.php?id=150","μαθήματα","εφαρμογής",,"winter","Γ","Γ","odigos2013","odigos2015"
,"Διδακτική της Ρυθμικής Γυμναστικής Ι","http://www.phed.auth.gr/etefaa/course/view.php?id=151","μαθήματα","εφαρμογής",,"winter","Β","Β","odigos2013","odigos2015"
,"Διδακτική της Ρυθμικής Γυμναστικής ΙΙ","http://www.phed.auth.gr/etefaa/course/view.php?id=28","μαθήματα","εφαρμογής","spring",,"Β","Β","odigos2013","odigos2015"
,"Διδακτική της ΦΑ στη Β/θμια Εκπαίδευση","http://www.phed.auth.gr/etefaa/course/view.php?id=23","μαθήματα","εφαρμογής","spring",,"Γ","Γ","odigos2013","odigos2015"
